Date,Open,High,Low,Close,Adj Close,Volume
2022-05-22,1974.670654,2047.191406,1966.038818,2043.170166,2043.170166,10941123403
2022-05-23,2042.344727,2080.333496,1964.386597,1972.181885,1972.181885,16434529708
2022-05-24,1972.390869,1991.535522,1920.688110,1978.982788,1978.982788,13057109007
2022-05-25,1978.677002,2014.369507,1943.938599,1944.827881,1944.827881,13364545730
2022-05-26,1945.033325,1962.171143,1759.199585,1803.913330,1803.913330,23458681818
2022-05-27,1802.543823,1814.656494,1721.264771,1724.922852,1724.922852,25470760032
2022-05-28,1724.635986,1757.941772,1724.635986,1757.941772,1757.941772,23214777872
2022-05-29,1792.184448,1818.776611,1765.937378,1812.031006,1812.031006,10642556101
2022-05-30,1811.885986,2005.210815,1804.456055,1996.441284,1996.441284,19580808705
2022-05-31,1996.408081,2005.490967,1932.352051,1942.328003,1942.328003,18363115560
2022-06-01,1942.050659,1965.166626,1776.053223,1823.569336,1823.569336,21037797760
2022-06-02,1822.412109,1845.313965,1789.664185,1834.150513,1834.150513,17065041354
2022-06-03,1834.135010,1840.058838,1746.509766,1775.078613,1775.078613,14878001811
2022-06-04,1775.220825,1810.299683,1751.533325,1801.609497,1801.609497,8677951273
2022-06-05,1801.818970,1825.859619,1777.133301,1805.204956,1805.204956,8850385937
2022-06-06,1805.635986,1915.030518,1804.990234,1859.289673,1859.289673,16518471852
2022-06-07,1859.333740,1862.914917,1729.413574,1814.048340,1814.048340,24020076750
2022-06-08,1814.100708,1830.676025,1770.231201,1793.572266,1793.572266,18041476023
2022-06-09,1793.512817,1827.293091,1779.867554,1789.826050,1789.826050,12013083393
2022-06-10,1789.689941,1797.607788,1663.433960,1665.042236,1665.042236,18504740451
2022-06-11,1665.217896,1679.314209,1507.038940,1529.663452,1529.663452,21127089064
2022-06-12,1530.189697,1539.705078,1436.183960,1445.216553,1445.216553,23465074882
2022-06-13,1443.835449,1448.738037,1181.948242,1204.582764,1204.582764,45162788786
2022-06-14,1204.555298,1252.471802,1094.701904,1211.662842,1211.662842,33327826525
2022-06-15,1211.365967,1236.627563,1025.684204,1233.206421,1233.206421,37539999450
2022-06-16,1233.603516,1246.140625,1058.784546,1067.730713,1067.730713,18907671369
2022-06-17,1067.987671,1112.471558,1060.867676,1086.519287,1086.519287,14591486540
2022-06-18,1086.377930,1095.166870,896.109009,993.636780,993.636780,21655406608
2022-06-19,993.400635,1142.340820,943.116333,1127.656494,1127.656494,21795481981
2022-06-20,1127.656250,1159.985352,1066.113159,1127.642456,1127.642456,19739691429
2022-06-21,1127.511841,1185.432495,1112.572632,1124.824585,1124.824585,15632089439
2022-06-22,1125.372925,1126.261719,1049.763306,1051.421875,1051.421875,15010593493
2022-06-23,1051.329346,1146.494263,1050.219604,1143.386719,1143.386719,14657862919
2022-06-24,1143.204712,1238.616943,1134.514038,1226.844727,1226.844727,16981552654
2022-06-25,1226.724731,1246.394287,1184.562012,1243.446899,1243.446899,12481946184
2022-06-26,1242.987549,1272.131226,1199.406372,1199.831665,1199.831665,12096607824
2022-06-27,1199.713135,1234.180786,1179.792480,1193.680664,1193.680664,12492225250
2022-06-28,1193.254028,1229.739014,1141.159668,1144.579224,1144.579224,14023205651
2022-06-29,1144.524414,1152.684814,1092.099121,1098.943848,1098.943848,15386286815
2022-06-30,1099.353149,1103.690430,1009.094849,1067.298828,1067.298828,16350755497
2022-07-01,1068.316772,1100.223877,1040.150757,1059.767334,1059.767334,17499453625
2022-07-02,1060.121216,1073.052612,1033.962158,1066.512817,1066.512817,9935603640
2022-07-03,1066.467407,1083.418945,1044.005615,1073.766968,1073.766968,8557248150
2022-07-04,1073.794312,1152.943848,1048.396362,1151.059082,1151.059082,13670889311
2022-07-05,1150.509766,1165.682739,1086.829956,1134.541016,1134.541016,16195518291
2022-07-06,1134.822266,1193.636719,1116.247559,1186.973999,1186.973999,15373536703
2022-07-07,1186.960938,1246.894897,1165.623169,1237.593384,1237.593384,14230795894
2022-07-08,1237.580322,1262.885742,1200.632202,1222.506226,1222.506226,16315929082
2022-07-09,1222.306885,1228.767944,1209.377563,1216.978271,1216.978271,8821353104
2022-07-10,1216.904419,1216.904419,1157.175537,1168.401611,1168.401611,10984558039
2022-07-11,1168.139038,1169.193848,1095.002808,1097.236572,1097.236572,12064180410
2022-07-12,1097.259155,1097.259155,1038.135620,1038.191650,1038.191650,12583282453
2022-07-13,1038.186646,1113.587158,1019.220337,1113.587158,1113.587158,18302588147
2022-07-14,1113.515747,1202.953369,1077.405762,1191.526245,1191.526245,16688640823
2022-07-15,1191.674805,1275.778198,1182.903198,1233.129150,1233.129150,17411448225
2022-07-16,1232.791626,1377.944580,1195.605957,1352.626465,1352.626465,18364013796
2022-07-17,1353.205078,1378.417480,1329.763306,1338.635742,1338.635742,16079711737
2022-07-18,1338.806030,1578.717896,1338.806030,1578.717896,1578.717896,27440420623
2022-07-19,1578.383911,1607.033081,1501.797485,1542.975220,1542.975220,27753529276
2022-07-20,1542.954346,1612.645752,1500.803223,1520.200684,1520.200684,22942708340
2022-07-21,1520.374512,1595.761963,1472.185425,1576.749512,1576.749512,20009556587
2022-07-22,1576.745361,1641.209229,1523.641724,1537.405151,1537.405151,18926100582
2022-07-23,1536.457397,1591.632568,1495.678101,1549.297485,1549.297485,14998811383
2022-07-24,1549.222534,1654.428711,1548.671143,1599.476685,1599.476685,17217849557
2022-07-25,1599.157227,1605.336914,1445.383423,1445.383423,1445.383423,20585056021
2022-07-26,1445.151123,1445.151123,1362.951660,1441.806763,1441.806763,18238563509
2022-07-27,1443.726807,1636.799438,1423.618896,1636.232666,1636.232666,23007524016
2022-07-28,1636.231934,1774.576416,1604.890991,1725.468140,1725.468140,27231399966
2022-07-29,1725.623901,1759.884033,1662.791138,1727.406982,1727.406982,23249531113
2022-07-30,1727.061890,1738.016846,1678.108032,1695.969482,1695.969482,15576977870
2022-07-31,1695.884766,1745.883179,1672.612793,1681.517334,1681.517334,14200735370
2022-08-01,1681.445557,1700.170898,1613.416016,1635.195801,1635.195801,16191371176
2022-08-02,1634.645874,1672.629761,1567.851074,1632.945435,1632.945435,20426082309
2022-08-03,1633.051270,1678.098267,1595.634521,1618.874512,1618.874512,16786218830
2022-08-04,1618.886719,1658.511597,1585.326538,1608.205811,1608.205811,14467440626
2022-08-05,1607.523926,1732.254639,1606.497070,1732.254639,1732.254639,18546491876
2022-08-06,1732.661133,1744.326416,1691.658081,1691.658081,1691.658081,11757911705
2022-08-07,1691.777954,1724.789185,1672.908447,1699.350830,1699.350830,10252090340
2022-08-08,1699.693481,1806.886475,1697.407959,1775.516113,1775.516113,16841424404
2022-08-09,1776.071289,1786.122559,1675.849854,1703.025024,1703.025024,16368619692
2022-08-10,1702.906494,1869.400635,1665.090454,1851.742676,1851.742676,23512477984
2022-08-11,1851.828369,1927.939209,1851.828369,1881.224121,1881.224121,23826986482
2022-08-12,1880.899170,1957.552979,1860.083496,1957.246460,1957.246460,17168141904
2022-08-13,1957.333984,2013.755737,1948.595215,1981.336548,1981.336548,16038975216
2022-08-14,1981.782471,2022.791504,1919.010132,1936.802002,1936.802002,14062754456
2022-08-15,1936.760498,2007.210327,1881.856812,1904.228149,1904.228149,20349931313
2022-08-16,1902.833130,1910.745361,1862.273438,1878.139404,1878.139404,15637578930
2022-08-17,1877.934326,1951.675659,1823.532227,1832.999634,1832.999634,20308508124
2022-08-18,1833.715576,1876.376953,1826.957764,1847.007813,1847.007813,14999352229
2022-08-19,1847.095337,1847.095337,1611.338867,1612.987305,1612.987305,25906358731
2022-08-20,1612.650635,1652.218750,1534.298828,1577.003784,1577.003784,18334580263
2022-08-21,1576.543579,1640.936523,1569.046509,1619.318970,1619.318970,15849221752
2022-08-22,1619.166870,1622.778809,1535.014771,1622.505859,1622.505859,18557078599
2022-08-23,1622.939331,1666.676514,1569.428589,1662.769897,1662.769897,18322041914
2022-08-24,1662.695435,1686.557739,1610.099243,1657.059204,1657.059204,16780932907
2022-08-25,1657.336548,1718.183228,1656.856079,1696.457031,1696.457031,14818795695
2022-08-26,1696.324585,1698.561035,1498.771240,1507.782837,1507.782837,26713710143
2022-08-27,1508.156982,1517.150024,1454.282959,1491.395020,1491.395020,18120831899
2022-08-28,1491.206787,1505.791992,1430.547363,1430.547363,1430.547363,12823572918
2022-08-29,1430.439453,1556.309570,1427.728394,1553.037354,1553.037354,17965837488
2022-08-30,1553.188965,1600.461182,1480.831787,1523.838867,1523.838867,21835784470
2022-08-31,1524.286499,1612.358887,1524.286499,1553.684937,1553.684937,20591680941
2022-09-01,1553.756348,1593.082764,1520.188354,1586.176758,1586.176758,16434276817
2022-09-02,1586.017944,1643.183228,1551.877930,1577.220459,1577.220459,17708478709
2022-09-03,1577.213745,1579.454346,1541.672119,1556.872681,1556.872681,9516825994
2022-09-04,1556.895874,1578.009277,1543.698853,1577.641602,1577.641602,8884144998
2022-09-05,1577.884033,1621.661377,1559.781860,1617.183228,1617.183228,13060541168
2022-09-06,1617.240234,1680.595337,1561.748535,1561.748535,1561.748535,22946059125
2022-09-07,1560.906738,1651.051147,1500.013672,1629.906372,1629.906372,19560363854
2022-09-08,1629.805176,1655.064087,1603.063843,1635.347656,1635.347656,17621046717
2022-09-09,1635.187744,1735.809814,1632.836548,1719.085449,1719.085449,20242323690
2022-09-10,1718.961304,1784.497803,1710.296997,1776.203735,1776.203735,13130928217
2022-09-11,1775.976074,1782.729858,1730.164795,1761.800049,1761.800049,12464301922
2022-09-12,1762.084839,1778.163452,1698.293457,1713.765259,1713.765259,17688391310
2022-09-13,1713.962524,1745.779053,1564.031860,1580.787964,1580.787964,23066821734
2022-09-14,1574.858154,1642.157227,1564.031860,1634.755005,1634.755005,17897150206
2022-09-15,1635.083008,1648.945679,1466.139404,1471.693481,1471.693481,26946275878
2022-09-16,1471.928345,1480.564209,1415.581299,1432.447754,1432.447754,16764804299
2022-09-17,1432.876465,1473.060425,1415.042358,1469.741699,1469.741699,10798098671
2022-09-18,1469.705444,1469.705444,1331.494751,1335.329102,1335.329102,15762284723
2022-09-19,1335.270752,1388.272217,1287.420898,1377.541382,1377.541382,18712714223
2022-09-20,1377.619019,1381.965698,1319.201416,1324.388184,1324.388184,14722317220
2022-09-21,1324.215576,1384.476929,1229.426758,1252.607788,1252.607788,20643507800
2022-09-22,1251.567383,1336.157837,1240.968262,1327.680176,1327.680176,18461527259
2022-09-23,1327.481201,1353.288330,1270.198364,1328.259521,1328.259521,18771106339
2022-09-24,1328.244629,1346.255249,1312.640259,1317.993286,1317.993286,12098209717
